iter	Passed	Remaining
747	3720	6228
748	3725	6221
749	3729	6216
750	3734	6210
751	3738	6204
752	3743	6198
753	3747	6192
754	3751	6186
755	3756	6180
756	3760	6175
757	3764	6168
758	3769	6163
759	3773	6156
760	3777	6150
761	3782	6144
762	3786	6138
763	3790	6132
764	3795	6126
765	3799	6120
766	3803	6114
767	3807	6108
768	3812	6102
769	3816	6096
770	3820	6090
771	3839	6107
772	3843	6101
773	3848	6095
774	3852	6088
775	3856	6082
776	3860	6076
777	3865	6070
778	3869	6064
779	3874	6059
780	3878	6053
781	3882	6046
782	3886	6040
783	3890	6034
784	3895	6028
785	3899	6022
786	3903	6016
787	3908	6011
788	3912	6004
789	3916	5998
790	3921	5993
791	3925	5987
792	3929	5981
793	3934	5975
794	3939	5970
795	3943	5964
796	3947	5958
797	3952	5953
798	3957	5948
799	3961	5942
800	3966	5937
801	3970	5931
802	3975	5926
803	3980	5921
804	3984	5915
805	3989	5909
806	3994	5904
807	3998	5898
808	4002	5892
809	4006	5886
810	4011	5881
811	4016	5875
812	4020	5870
813	4024	5864
814	4028	5858
815	4033	5852
816	4037	5846
817	4042	5840
818	4048	5837
819	4052	5831
820	4056	5825
821	4061	5820
822	4066	5815
823	4070	5809
824	4074	5803
825	4079	5798
826	4083	5792
827	4088	5786
828	4092	5781
829	4097	5775
830	4101	5769
831	4105	5762
832	4110	5758
833	4115	5753
834	4120	5749
835	4127	5746
836	4131	5741
837	4136	5735
838	4141	5730
839	4145	5724
840	4150	5719
841	4155	5714
842	4159	5708
843	4163	5703
844	4168	5697
845	4173	5692
846	4177	5686
847	4182	5681
848	4186	5675
849	4191	5670
850	4195	5664
851	4199	5659
852	4204	5653
853	4209	5648
854	4213	5642
855	4217	5636
856	4222	5631
857	4226	5626
858	4231	5620
859	4235	5614
860	4239	5608
861	4244	5603
862	4248	5596
863	4252	5591
864	4256	5585
865	4260	5579
866	4264	5573
867	4269	5567
868	4273	5562
869	4278	5556
870	4282	5551
871	4287	5545
872	4291	5540
873	4295	5534
874	4299	5528
875	4304	5523
876	4309	5517
877	4313	5511
878	4317	5506
879	4322	5500
880	4326	5495
881	4331	5490
882	4335	5484
883	4340	5479
884	4344	5473
885	4349	5468
886	4353	5462
887	4357	5456
888	4361	5451
889	4366	5445
890	4370	5440
891	4374	5433
892	4378	5428
893	4383	5422
894	4387	5417
895	4392	5411
896	4396	5406
897	4400	5400
898	4405	5394
899	4409	5389
900	4413	5383
901	4418	5378
902	4422	5372
903	4426	5367
904	4431	5362
905	4436	5357
906	4441	5352
907	4446	5347
908	4453	5345
909	4457	5339
910	4462	5334
911	4466	5328
912	4470	5322
913	4474	5316
914	4479	5311
915	4483	5305
916	4487	5300
917	4492	5294
918	4496	5289
919	4500	5283
920	4505	5278
921	4510	5273
922	4514	5267
923	4518	5262
924	4523	5256
925	4527	5251
926	4531	5245
927	4535	5239
928	4540	5234
929	4544	5228
930	4548	5223
931	4552	5217
932	4557	5212
933	4562	5206
934	4566	5201
935	4570	5195
936	4574	5190
937	4579	5184
938	4583	5178
939	4587	5172
940	4591	5167
941	4596	5162
942	4600	5156
943	4604	5150
944	4608	5145
945	4612	5139
946	4616	5133
947	4620	5127
948	4625	5122
949	4630	5117
950	4635	5113
951	4639	5107
952	4643	5101
953	4647	5095
954	4651	5090
955	4656	5084
956	4660	5079
957	4664	5073
958	4668	5067
959	4672	5061
960	4676	5056
961	4680	5050
962	4685	5045
963	4689	5039
964	4693	5033
965	4697	5027
966	4701	5022
967	4705	5016
968	4709	5011
969	4713	5005
970	4718	4999
971	4721	4994
972	4726	4988
973	4730	4982
974	4734	4977
975	4739	4972
976	4743	4966
977	4747	4961
978	4751	4955
979	4755	4950
980	4760	4944
981	4764	4939
982	4768	4933
983	4772	4927
984	4776	4922
985	4780	4916
986	4785	4911
987	4789	4905
988	4793	4899
989	4797	4894
990	4801	4888
991	4805	4883
992	4809	4877
993	4814	4872
994	4818	4866
995	4822	4860
996	4826	4855
997	4830	4850
998	4834	4844
999	4839	4839
1000	4843	4834
1001	4847	4828
1002	4852	4823
1003	4856	4817
1004	4860	4812
1005	4864	4806
1006	4868	4800
1007	4872	4795
1008	4877	4790
1009	4881	4784
1010	4885	4779
1011	4889	4773
1012	4894	4768
1013	4898	4763
1014	4903	4758
1015	4908	4753
1016	4912	4748
1017	4916	4742
1018	4920	4737
1019	4925	4732
1020	4929	4726
1021	4933	4721
1022	4937	4715
1023	4942	4710
1024	4946	4705
1025	4950	4699
1026	4954	4694
1027	4958	4688
1028	4962	4683
1029	4966	4677
1030	4970	4671
1031	4975	4666
1032	4979	4661
1033	4983	4655
1034	4987	4649
1035	4991	4644
1036	4995	4638
1037	4999	4633
1038	5003	4627
1039	5007	4622
1040	5011	4616
1041	5015	4611
1042	5020	4606
1043	5024	4600
1044	5028	4595
1045	5032	4589
1046	5037	4584
1047	5041	4579
1048	5045	4573
1049	5049	4568
1050	5053	4563
1051	5057	4557
1052	5061	4552
1053	5066	4546
1054	5070	4541
1055	5074	4535
1056	5078	4530
1057	5082	4524
1058	5086	4519
1059	5090	4513
1060	5094	4508
1061	5098	4503
1062	5102	4497
1063	5106	4492
1064	5110	4487
1065	5114	4481
1066	5119	4476
1067	5123	4470
1068	5127	4465
1069	5131	4459
1070	5134	4454
1071	5138	4448
1072	5142	4442
1073	5146	4437
1074	5150	4431
1075	5154	4426
1076	5158	4420
1077	5162	4415
1078	5165	4409
1079	5170	4404
1080	5174	4398
1081	5177	4392
1082	5181	4387
1083	5185	4382
1084	5189	4376
1085	5193	4370
1086	5197	4365
1087	5201	4359
1088	5205	4354
1089	5208	4348
1090	5212	4343
1091	5217	4338
1092	5221	4332
1093	5224	4327
1094	5228	4321
1095	5232	4316
1096	5236	4310
1097	5240	4304
1098	5244	4299
1099	5248	4294
1100	5252	4288
1101	5255	4282
1102	5260	4277
1103	5263	4272
1104	5267	4266
1105	5271	4261
1106	5275	4255
1107	5279	4250
1108	5283	4244
1109	5287	4239
1110	5291	4234
1111	5295	4228
1112	5299	4223
1113	5303	4217
1114	5307	4212
1115	5310	4206
1116	5314	4201
1117	5318	4196
1118	5322	4190
1119	5326	4184
1120	5330	4179
1121	5334	4174
1122	5337	4168
1123	5341	4163
1124	5345	4157
1125	5349	4152
1126	5353	4146
1127	5357	4141
1128	5361	4135
1129	5366	4131
1130	5371	4127
1131	5375	4121
1132	5378	4116
1133	5382	4110
1134	5386	4105
1135	5390	4099
1136	5394	4094
1137	5398	4089
1138	5402	4083
1139	5406	4078
1140	5410	4073
1141	5414	4067
1142	5418	4062
1143	5421	4056
1144	5425	4051
1145	5429	4046
1146	5433	4041
1147	5437	4035
1148	5441	4030
1149	5445	4024
1150	5449	4019
1151	5453	4014
1152	5457	4008
1153	5461	4003
1154	5465	3998
1155	5468	3992
1156	5472	3987
1157	5476	3981
1158	5480	3976
1159	5484	3971
1160	5488	3966
1161	5491	3960
1162	5496	3955
1163	5500	3950
1164	5504	3944
1165	5507	3939
1166	5512	3934
1167	5516	3929
1168	5520	3924
1169	5524	3918
1170	5528	3913
1171	5532	3908
1172	5536	3903
1173	5539	3897
1174	5543	3892
1175	5547	3887
1176	5551	3881
1177	5555	3876
1178	5559	3871
1179	5563	3866
1180	5567	3860
1181	5570	3855
1182	5575	3850
1183	5580	3845
1184	5584	3840
1185	5589	3836
1186	5593	3831
1187	5598	3826
1188	5602	3821
1189	5606	3815
1190	5609	3810
1191	5613	3805
1192	5617	3800
1193	5621	3795
1194	5625	3789
1195	5629	3784
1196	5633	3779
1197	5637	3774
1198	5641	3769
1199	5645	3763
1200	5649	3758
1201	5653	3753
1202	5657	3748
1203	5661	3742
1204	5665	3737
1205	5669	3732
1206	5672	3727
1207	5676	3721
1208	5680	3716
1209	5684	3711
1210	5688	3706
1211	5692	3700
1212	5696	3695
1213	5700	3690
1214	5704	3685
1215	5707	3680
1216	5711	3674
1217	5715	3669
1218	5720	3664
1219	5724	3659
1220	5728	3654
1221	5731	3649
1222	5736	3644
1223	5739	3638
1224	5743	3633
1225	5747	3628
1226	5751	3623
1227	5755	3618
1228	5759	3613
1229	5763	3608
1230	5767	3602
1231	5771	3597
1232	5775	3592
1233	5778	3587
1234	5783	3582
1235	5786	3576
1236	5791	3572
1237	5795	3566
1238	5799	3562
1239	5804	3557
1240	5808	3552
1241	5812	3547
1242	5816	3542
1243	5821	3537
1244	5824	3532
1245	5828	3527
1246	5832	3522
1247	5837	3517
1248	5841	3512
1249	5844	3506
1250	5849	3502
1251	5853	3496
1252	5856	3491
1253	5860	3486
1254	5864	3481
1255	5868	3476
1256	5872	3471
1257	5875	3465
1258	5879	3460
1259	5883	3455
1260	5887	3450
1261	5891	3445
1262	5895	3440
1263	5899	3434
1264	5903	3429
1265	5906	3424
1266	5910	3419
1267	5914	3414
1268	5918	3409
1269	5922	3404
1270	5926	3399
1271	5930	3394
1272	5934	3389
1273	5938	3383
1274	5942	3378
1275	5946	3373
1276	5949	3368
1277	5953	3363
1278	5958	3358
1279	5962	3353
1280	5965	3348
1281	5969	3343
1282	5973	3338
1283	5977	3333
1284	5981	3328
1285	5985	3323
1286	5989	3318
1287	5993	3313
1288	5997	3307
1289	6001	3302
1290	6005	3297
1291	6009	3292
1292	6012	3287
1293	6016	3282
1294	6020	3277
1295	6024	3272
1296	6028	3267
1297	6032	3262
1298	6036	3257
1299	6040	3252
1300	6044	3247
1301	6048	3242
1302	6051	3237
1303	6055	3232
1304	6059	3226
1305	6063	3221
1306	6066	3216
1307	6070	3211
1308	6074	3206
1309	6077	3201
1310	6081	3196
1311	6085	3191
1312	6088	3185
1313	6092	3180
1314	6096	3175
1315	6100	3170
1316	6104	3165
1317	6108	3160
1318	6112	3155
1319	6115	3150
1320	6119	3145
1321	6123	3140
1322	6126	3135
1323	6130	3130
1324	6134	3125
1325	6138	3120
1326	6141	3114
1327	6145	3109
1328	6149	3104
1329	6153	3099
1330	6156	3094
1331	6160	3089
1332	6163	3084
1333	6167	3079
1334	6171	3074
1335	6174	3068
1336	6178	3063
1337	6182	3058
1338	6185	3053
1339	6189	3048
1340	6193	3043
1341	6197	3038
1342	6200	3033
1343	6204	3028
1344	6207	3023
1345	6211	3018
1346	6215	3013
1347	6219	3008
1348	6222	3002
1349	6226	2997
1350	6230	2992
1351	6233	2987
1352	6237	2982
1353	6241	2977
1354	6245	2972
1355	6248	2967
1356	6252	2962
1357	6256	2957
1358	6260	2952
1359	6263	2947
1360	6267	2942
1361	6270	2937
1362	6274	2932
1363	6278	2927
1364	6281	2922
1365	6285	2917
1366	6289	2912
1367	6293	2907
1368	6296	2902
1369	6301	2897
1370	6306	2893
1371	6310	2888
1372	6313	2883
1373	6317	2878
1374	6321	2873
1375	6325	2868
1376	6329	2863
1377	6332	2858
1378	6336	2853
1379	6340	2848
1380	6344	2843
1381	6347	2838
1382	6351	2833
1383	6355	2828
1384	6359	2823
1385	6363	2819
1386	6367	2814
1387	6372	2809
1388	6376	2804
1389	6379	2799
1390	6383	2794
1391	6387	2789
1392	6391	2785
1393	6395	2780
1394	6399	2775
1395	6402	2770
1396	6406	2765
1397	6410	2760
1398	6414	2755
1399	6417	2750
1400	6421	2745
1401	6425	2740
1402	6428	2735
1403	6432	2730
1404	6436	2725
1405	6440	2720
1406	6443	2715
1407	6447	2710
1408	6451	2705
1409	6455	2701
1410	6458	2696
1411	6462	2691
1412	6466	2686
1413	6469	2681
1414	6473	2676
1415	6477	2671
1416	6480	2666
1417	6484	2661
1418	6488	2656
1419	6492	2651
1420	6495	2646
1421	6499	2641
1422	6503	2637
1423	6507	2632
1424	6511	2627
1425	6514	2622
1426	6519	2617
1427	6522	2612
1428	6526	2607
1429	6530	2602
1430	6534	2598
1431	6538	2593
1432	6541	2588
1433	6545	2583
1434	6549	2578
1435	6553	2573
1436	6557	2569
1437	6561	2564
1438	6565	2559
1439	6569	2554
1440	6572	2549
1441	6576	2544
1442	6580	2539
1443	6584	2535
